Categoria: Todas as categorias

Mes,Pinhao: (Parana)
2004-01,59
2004-02,0
2004-03,0
2004-04,0
2004-05,42
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,52
2005-03,37
2005-04,25
2005-05,0
2005-06,40
2005-07,20
2005-08,14
2005-09,0
2005-10,0
2005-11,21
2005-12,0
2006-01,20
2006-02,14
2006-03,27
2006-04,37
2006-05,34
2006-06,29
2006-07,11
2006-08,14
2006-09,10
2006-10,0
2006-11,15
2006-12,9
2007-01,11
2007-02,9
2007-03,13
2007-04,20
2007-05,41
2007-06,51
2007-07,21
2007-08,14
2007-09,9
2007-10,17
2007-11,10
2007-12,8
2008-01,0
2008-02,0
2008-03,6
2008-04,39
2008-05,49
2008-06,51
2008-07,11
2008-08,12
2008-09,7
2008-10,14
2008-11,8
2008-12,8
2009-01,13
2009-02,15
2009-03,7
2009-04,19
2009-05,46
2009-06,47
2009-07,25
2009-08,12
2009-09,12
2009-10,3
2009-11,28
2009-12,23
2010-01,9
2010-02,0
2010-03,23
2010-04,37
2010-05,56
2010-06,44
2010-07,25
2010-08,15
2010-09,16
2010-10,11
2010-11,0
2010-12,10
2011-01,9
2011-02,15
2011-03,12
2011-04,22
2011-05,44
2011-06,43
2011-07,24
2011-08,17
2011-09,16
2011-10,12
2011-11,12
2011-12,8
2012-01,7
2012-02,10
2012-03,15
2012-04,25
2012-05,52
2012-06,50
2012-07,28
2012-08,16
2012-09,10
2012-10,14
2012-11,9
2012-12,11
2013-01,10
2013-02,13
2013-03,14
2013-04,25
2013-05,34
2013-06,41
2013-07,44
2013-08,15
2013-09,15
2013-10,14
2013-11,12
2013-12,10
2014-01,11
2014-02,13
2014-03,13
2014-04,27
2014-05,76
2014-06,50
2014-07,22
2014-08,19
2014-09,15
2014-10,10
2014-11,13
2014-12,11
2015-01,8
2015-02,13
2015-03,13
2015-04,33
2015-05,54
2015-06,52
2015-07,42
2015-08,18
2015-09,11
2015-10,14
2015-11,14
2015-12,15
2016-01,12
2016-02,17
2016-03,20
2016-04,47
2016-05,64
2016-06,49
2016-07,24
2016-08,17
2016-09,23
2016-10,18
2016-11,17
2016-12,15
2017-01,14
2017-02,13
2017-03,19
2017-04,50
2017-05,66
2017-06,45
2017-07,25
2017-08,19
2017-09,17
2017-10,16
2017-11,16
2017-12,22
2018-01,13
2018-02,14
2018-03,16
2018-04,33
2018-05,50
2018-06,41
2018-07,26
2018-08,19
2018-09,17
2018-10,14
2018-11,18
2018-12,17
2019-01,17
2019-02,17
2019-03,23
2019-04,39
2019-05,57
2019-06,62
2019-07,49
2019-08,24
2019-09,25
2019-10,22
2019-11,19
2019-12,21
2020-01,19
2020-02,20
2020-03,22
2020-04,47
2020-05,100
2020-06,85
2020-07,49
2020-08,31
2020-09,24
2020-10,28
2020-11,36
2020-12,22
2021-01,27
2021-02,26
2021-03,29
2021-04,64
2021-05,97
2021-06,73
2021-07,46
2021-08,35
2021-09,33
2021-10,35
2021-11,26
2021-12,26
2022-01,30
2022-02,27
2022-03,36
2022-04,60
2022-05,79
2022-06,66
2022-07,42
2022-08,35
2022-09,33
2022-10,33
2022-11,31
2022-12,27
2023-01,27
2023-02,29
2023-03,28
2023-04,42
2023-05,64
